Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin File	File Offset (s)	Species	Call type
3	Spectrogram 1	1	44.664086669	50.694955299	94.305	927.329	-31.04	20240120_053301.wav	44.6641	AS	CP
4	Spectrogram 1	1	29.127847464	35.311937419	86.237	870.997	-31.52	20240120_053301.wav	29.1278	AS	CP
7	Spectrogram 1	1	15.628866507	20.150579565	77.614	827.878	-31.51	20240120_053301.wav	15.6289	AS	CP
8	Spectrogram 1	1	11.984697548	15.599239117	103.485	802.007	-33.21	20240120_053301.wav	11.9847	AS	CP
9	Spectrogram 1	1	9.733015914	11.969883853	86.237	819.254	-32.84	20240120_053301.wav	9.7330	AS	CP
1	Spectrogram 1	1	41.859318671	43.288358958	102.163	683.709	-40.41	20240120_053301.wav	41.8593	AS	IP
6	Spectrogram 1	1	26.075284800	27.319635176	103.485	655.404	-45.08	20240120_053301.wav	26.0753	AS	IP
11	Spectrogram 1	1	5.431606880	7.638847429	112.108	664.027	-45.17	20240120_053301.wav	5.4316	AS	IP
2	Spectrogram 1	1	43.303172653	44.656679822	70.728	856.601	-34.58	20240120_053301.wav	43.3032	AS	PP
5	Spectrogram 1	1	27.328674023	29.113724266	103.485	733.017	-41.24	20240120_053301.wav	27.3287	AS	PP
10	Spectrogram 1	1	7.668474819	9.712764723	86.237	750.265	-38.20	20240120_053301.wav	7.6685	AS	PP
