Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin File	File Offset (s)	Species	Call type
1	Spectrogram 1	1	77.988733889	81.082529220	159.0	1537.1	-18.37	20231214_0630.wav	77.9887	PT	BP
2	Spectrogram 1	1	103.167395456	106.609312947	106.0	1590.1	-20.57	20231214_0630.wav	103.1674	PT	BP
3	Spectrogram 1	1	204.239965166	206.935104474	106.0	1537.1	-22.29	20231214_0630.wav	204.2400	PT	BP
4	Spectrogram 1	1	216.289482794	219.102534447	106.0	1590.1	-23.36	20231214_0630.wav	216.2895	PT	BP
5	Spectrogram 1	1	230.416502943	233.779812205	106.0	1537.1	-18.93	20231214_0630.wav	230.4165	PT	BP
6	Spectrogram 1	1	15.839558554	17.978825380	212.0	1431.1	-15.91	20231214_0630.wav	15.8396	PT	BP
7	Spectrogram 1	1	84.722818156	88.181580268	106.0	1431.1	-27.25	20231214_0630.wav	84.7228	PT	PP
8	Spectrogram 1	1	93.320007090	96.408187547	159.0	1431.1	-28.02	20231214_0630.wav	93.3200	PT	PP
9	Spectrogram 1	1	99.754651364	102.449790672	159.0	1272.1	-29.13	20231214_0630.wav	99.7547	PT	PP
10	Spectrogram 1	1	111.506583273	115.178710580	106.0	1113.1	-31.42	20231214_0630.wav	111.5066	PT	PP
11	Spectrogram 1	1	190.129708618	195.151357032	159.0	848.1	-34.08	20231214_0630.wav	190.1297	PT	PP
12	Spectrogram 1	1	213.521272613	216.199567300	159.0	1484.1	-26.02	20231214_0630.wav	213.5213	PT	PP
13	Spectrogram 1	1	239.147558564	243.100429549	106.0	1219.1	-30.69	20231214_0630.wav	239.1476	PT	PP
14	Spectrogram 1	1	248.889365186	251.668727597	106.0	1272.1	-27.41	20231214_0630.wav	248.8894	PT	PP
