Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin File	File Offset (s)	Species	Call type
1	Spectrogram 1	1	4.409751757	5.019386524	7350.000	9117.700	-40.30	20231218.wav	4.4098	SB	LPC
2	Spectrogram 1	1	19.953449421	20.160081313	9445.700	15071.000	-42.06	20231218.wav	19.9534	SB	PPC
3	Spectrogram 1	1	0.884222327	1.121022609	6698.700	11071.500	-30.19	20231218.wav	0.8842	SB	PPC
4	Spectrogram 1	1	19.402032637	19.587288816	9252.400	13835.300	-35.51	20231218.wav	19.4020	SB	PPC
5	Spectrogram 1	1	21.761741165	21.946997344	7733.700	13664.700	-33.76	20231218.wav	21.7617	SB	PPC
6	Spectrogram 1	1	18.910391239	19.081396943	10117.100	13143.500	-35.83	20231218.wav	18.9104	SB	PPC
7	Spectrogram 1	1	25.326394069	25.511650248	8895.400	13420.100	-33.18	20231218.wav	25.3264	SB	PPC
8	Spectrogram 1	1	0.531541057	0.874145720	6590.400	10840.200	-32.33	20231218.wav	0.5315	SB	PPC
9	Spectrogram 1	1	24.913130285	25.012883612	9812.600	12441.800	-30.35	20231218.wav	24.9131	SB	PPC
10	Spectrogram 1	1	16.085633637	16.789710631	8501.200	12606.059	-50.52	20231218.wav	16.0856	SB	PCC
11	Spectrogram 1	1	1.466431609	1.763691537	8466.500	13211.400	-37.03	20231218.wav	1.4664	SB	PPC
12	Spectrogram 1	1	27.906143505	28.048648258	9690.300	14092.700	-35.90	20231218.wav	27.9061	SB	PPC
13	Spectrogram 1	1	20.906712647	21.141845489	9017.700	11891.500	-39.96	20231218.wav	20.9067	SB	PPC
14	Spectrogram 1	1	17.310233713	18.501792576	9267.796	13445.100	-42.69	20231218.wav	17.3102	SB	PCC
25	Spectrogram 1	1	22.215284591	22.358026826	8792.996	13688.066	-36.15	20231218.wav	22.2153	SB	PPC
26	Spectrogram 1	1	23.714542089	23.821598765	9518.192	13506.767	-41.19	20231218.wav	23.7145	SB	PPC
27	Spectrogram 1	1	24.428253264	24.544231330	9064.944	12237.675	-36.43	20231218.wav	24.4283	SB	PPC
28	Spectrogram 1	1	2.142708756	2.298833076	9790.140	12509.623	-35.46	20231218.wav	2.1427	SB	PPC
29	Spectrogram 1	1	32.024710047	32.680781062	8900.182	12909.273	-48.10	20231218.wav	32.0247	SB	PCC
